sim_time,real_time,truck_id,mode,SOC(%),position(m),velocity(km/h)
111.067,1.76008e+09,truck0,LV,99.9074,0.337816,1.43233
111.147,1.76008e+09,truck0,LV,99.9074,0.341795,1.44446
111.227,1.76008e+09,truck0,LV,99.9074,0.345807,1.45659
111.327,1.76008e+09,truck0,LV,99.9074,0.349854,1.46872
111.407,1.76008e+09,truck0,LV,99111.447,1.76008e+09,tru111.507,1.76008e+09,truck0,LV,99.111.527,1.76008e+09,tr111.667,1.76008e+09,truck0,LV,99.9069,0.362194,1.48179
111.767,1.76008e+09,truck0,LV,99.9068,0.36631,1.49392
111.847,1.76008e+09,truck0,LV,99.9068,0.37046,1.48273
111.927,1.76008e+09,truck0,LV,99.9067,0.374579,1.49486
112.027,1.76008e+09,truck0,LV,99.9064,0.378731,1.48367
112.107,1.76008e+09,truck0,LV,99.906112.147,1.76008e+09112.207,1.76008e+09,truck0,LV,99.9069112.227,1.76008e+0112.367,1.76008e+09,truck0,LV,99.9069,0.391066,1.49674
112.467,1.76008e+09,truck0,LV,99.9069,0.395224,1.50887
112.547,1.76008e+09,truck0,LV,99.9065,0.399415,1.521
112.627,1.76008e+09,truck0,LV,99.9062,0.40364,1.50981
112.727,1.76008e+09,truck0,LV,99.9065,0.407834,1.49862
112.807,1.76008e+09,truck0,LV,99.9064,0.4119112.847,1.7112.987,1.76008e+09,truck0,LV,99.9062,0.416194,1.49956
113.067,1.76008e+09,truck0,LV,99.9062,0.420359,1.48837
113.147,1.76008e+09,truck0,LV,99.9062,0.424493,1.47718
113.247,1.76008e+09,truck0,LV,99.9066,0.428597,1.46598
113.327,1.76008e+09,truck0,LV,99.907,0.432669,1.47811
113.427,1.76008e+09,truck0,LV,99.9071,0.436775,1.49025
113.507,1.76008e+09,truck0,LV,99.9071,0.440914113.547,1113.687,1.76008e+09,truck0,LV,99.9071,0.445088,1.51451
113.767,1.76008e+09,truck0,LV,99.9068,0.449295,1.52664
113.847,1.76008e+09,truck0,LV,99.9065,0.453535,1.51545
113.947,1.76008e+09,truck0,LV,99.9068,0.457745,1.50426
114.027,1.76008e+09,truck0,LV,99.907,0.461923,1.51639
114.127,1.76008e+09,truck0,LV,99.9067,0.466135,1.52554
114.207,1.76008e+09,truck0,LV,99.9068,0.470373,1.514311114.367,1.76008e+09,truck0,LV,99.907,0.47458,1.52648
114.467,1.76008e+09,truck0,LV,99.9067,0.47882,1.53861
114.547,1.76008e+09,truck0,LV,99.9067,0.483094,1.52742
114.647,1.76008e+09,truck0,LV,99.9065,0.487337,1.53627
114.727,1.76008e+09,truck0,LV,99.9063,0.491604,1.52508
114.807,1.76008e+09,truck0,LV,99.9065,0.49584,1.51389
114.907,1.76008e+09,truck0,LV,99.9068,0.500046,1.52602
115.067,1.76008e+09,truck0,LV,99.9068,0.504284,1.53815
115.167,1.76008e+09,truck0,LV,99.9067,0.508557,1.55028
115.247,1.76008e+09,truck0,LV,99.9063,0.512863,1.56242
115.327,1.76008e+09,truck0,LV,99.9063,0.517204,1.55122
115.427,1.76008e+09,truck0,LV,99.9062,0.521512,1.56336
115.507,1.76008e+09,truck0,LV,99.9059,0.525855,1.56074
115.687,1.76008e+09,truck0,LV,99.9061,0.530191,1.54955
115.767,1.76008e+09,truck0,LV,99.9059,0.534495,1.56168
115.867,1.76008e+09,truck0,LV,99.906,0.538833,1.55048
115.947,1.76008e+09,truck0,LV,99.9062,0.54314,1.56262
116.027,1.76008e+09,truck0,LV,99.9061,0.54748,1.57475
116.127,1.76008e+09,truck0,LV,99.9061,0.551855,1.58688
116.207,1.76008e+09,truck0,LV,99.906,0.556263,1.59901
116.387,1.76008e+09,truck0,LV,99.9059,0.560704,1.60427
116.467,1.76008e+09,truck0,LV,99.9058,0.565161,1.60849
116.547,1.76008e+09,truck0,LV,99.9057,0.569629,1.61217
116.647,1.76008e+09,truck0,LV,99.9056,0.574107,1.61504
116.727,1.76008e+09,truck0,LV,99.9055,0.578593,1.61831
116.807,1.76008e+09,truck0,LV,99.9054,0.583088,1.62157
116.907,1.76008e+09,truck0,LV,99.9052,0.587593,1.62488
117.067,1.76008e+09,truck0,LV,99.9051,0.592106,1.62821
117.167,1.76008e+09,truck0,LV,99.9049,0.596629,1.63162
117.247,1.76008e+09,truck0,LV,99.9048,0.601161,1.63505
117.327,1.76008e+09,truck0,LV,99.9046,0.605703,1.63889
117.427,1.76008e+09,truck0,LV,99.9044,0.610256,1.64231
117.507,1.76008e+09,truck0,LV,99.9043,0.614818,1.64574
117.687,1.76008e+09,truck0,LV,99.9041,0.619389,1.64958
117.767,1.76008e+09,truck0,LV,99.9039,0.623971,1.65303
117.867,1.76008e+09,truck0,LV,99.9038,0.628563,1.65694
117.947,1.76008e+09,truck0,LV,99.9036,0.633166,1.6604
118.027,1.76008e+09,truck0,LV,99.9035,0.637778,1.6659
118.127,1.76008e+09,truck0,LV,99.9033,0.642405,1.66973
118.207,1.76008e+09,truck0,LV,99.9031,0.647044,1.67324
118.387,1.76008e+09,truck0,LV,99.903,0.651691,1.67698
118.467,1.76008e+09,truck0,LV,99.9028,0.65635,1.68048
118.547,1.76008e+09,truck0,LV,99.9027,0.661018,1.68438
118.647,1.76008e+09,truck0,LV,99.9025,0.665697,1.68866
118.727,1.76008e+09,truck0,LV,99.9024,0.670387,1.69222
