Step,pos_front,vel_front,Speed,Position,SOC,Throttle,Brake
496,994,20.8,14.4273,339.505,99.5196,1,0
497,996,20.8,14.458,340.949,99.5184,1,0
498,998,20.8,14.4886,342.397,99.5172,1,0
499,1000,20.8,14.5192,343.847,99.516,1,0
500,1002,20.8,14.5499,345.301,99.5147,1,0
501,1004,20.8,14.5805,346.757,99.5135,1,0
502,1006,20.8,14.6111,348.217,99.5123,1,0
503,1008,20.8,14.6418,349.679,99.511,1,0
504,1010,20.8,14.6724,351.145,99.5098,1,0
505,1012,20.8,14.703,352.614,99.5085,1,0
506,1014,20.8,14.7337,354.086,99.5073,1,0
507,1016,20.8,14.7643,355.561,99.506,1,0
508,1018,20.8,14.7949,357.038,99.5047,1,0
509,1020,20.8,14.8256,358.52,99.5035,1,0
510,1022,20.8,14.8562,360.004,99.5022,1,0
511,1024,20.8,14.8868,361.491,99.5009,1,0
512,1026,20.8,14.9175,362.981,99.4996,1,0
513,1028,20.8,14.9481,364.474,99.4983,1,0
514,1030,20.8,14.9787,365.971,99.4971,1,0
515,1032,20.8,15.0094,367.47,99.4958,1,0
516,1034,20.8,15.04,368.972,99.4945,1,0
517,1036,20.8,15.0707,370.478,99.4932,1,0
518,1038,20.8,15.1013,371.987,99.4919,1,0
